問題番号,問題,正解の解答,不正解の解答１,不正解の解答２,不正解の解答３,翻訳文
1,しゅうまつ かぞくで （　　　　）に いって、かわいい パンダを みました。,どうぶつえん,すいぞくかん,どうぶつかん,すいぞくえん,"Le week-end, nous sommes allés au zoo en famille et nous avons vu de mignons pandas."
2,これから （　　　　）に かりたほんを かえしに いきます。,としょかん,ほんや,ぎんこう,おしろ,"Je vais retourner le livre que j'ai emprunté à la bibliothèque."
3,れきしが すきなので、にほんで たくさん（　　　　）や じんじゃを みたいです。,おてら,コンビニ,ゆうびんきょく,やきゅう,"J'aime l'histoire, donc je voudrais visiter beaucoup de temples et de sanctuaires au Japon."
4,らいしゅう とうきょうの（　　　　）に ピカソの えを みにいきます。,びじゅつかん,こうえん,はくぶつかん,えいがかん,"La semaine prochaine, je vais voir des peintures de Picasso au musée de Tokyo."
5,あの（　　　　）で コーヒーでも のみながら はなしませんか。,きっさてん,かいしゃ,がっこう,ぎんこう,"On ne pourrait pas discuter en buvant un café dans ce café ?"
6,あさから たかい ねつが あるので、（　　　　）に いきます。,びょういん,しゃいん,だいがくいん,えきいん,"J'ai de la fièvre depuis ce matin, donc je vais à l'hôpital."
7,パソコンを つかいすぎて、（　　　　）が いたいです。,かた,は,かみ,はな,"J'ai mal à l'épaule à cause de trop utiliser l'ordinateur."
8,わたしは おさけを のむと（　　　　）が あかくなります。,かお,ビール,もみじ,ワイン,"Quand je bois de l'alcool, mon visage devient rouge."
9,くらいところで ほんを よむと（　　　　）が わるくなりますよ。,め,みみ,くち,あし,"Si tu lis dans l'obscurité, tu vas abîmer tes yeux."
10,ハイキングは たのしかったですが、（　　　　）が つかれました。,あし,はし,かばん,やま,"La randonnée était amusante, mais j'ai les jambes fatiguées."
11,やまださんは （　　　　）が よくて、きれいだから、にんきが あります。,あたま,てんき,けしき,えいご,"Yamada est populaire car elle a de beaux cheveux et est jolie."
12,びよういんに いったから、（　　　　）が みじかくなりました。,かみ,あたま,かぜ,せき,"Je suis allé chez le coiffeur, donc mes cheveux sont plus courts."
13,さっき ふるいぎゅうにゅうを のんでから、（　　　　）の ちょうしが わるいです。,おなか,せなか,くび,かた,"J'ai bu du lait périmé tout à l'heure, et je ne me sens pas bien au ventre."
14,かいだんで ころんで、あしに（　　　　）を してしまいました。,けが,やけど,つかれ,くつ,"Je suis tombé(e) de l'escalier et je me suis blessé(e) à la jambe."
15,きのうの けっこんしきで のみすぎて、きょうは（　　　　）です。,ふつかよい,さむけ,あさごはん,くしゃみ,"J'ai trop bu hier à un mariage, donc j'ai la gueule de bois aujourd'hui."
16,（　　　　）が でるなら、このくすりを のんだほうがいいですよ。,せき,かぜ,ストレス,びょういん,"Si tu tousses, tu devrais prendre ce médicament."
17,かぜを ひいて、からだに（　　　　）が します。,さむけ,ねつ,せき,けが,"J'ai attrapé un rhume et j'ai des frissons."
18,おちゃが とても あつかったので、くちの なかを（　　　　）しました。,やけど,いたい,ねつ,は,"Le thé était tellement chaud que je me suis brûlé la bouche."
19,このまちには ふるいキリストきょうの（　　　　）が あります。,きょうかい,おてら,じんじゃ,おしろ,"Il y a une vieille église chrétienne dans cette ville."
20,このジーンズは まちの（　　　　）で かいました。,デパート,コンビニ,ゆうえんち,ゆうびんきょく,"J'ai acheté ce jean dans un grand magasin de la ville."
